357
(-4,92)
(-256,21)
(-144,97)
(16,74)
(15,93)
(301,64)
(123,77)
(-167,94)
(-42,92)
(-39,25)
(-300,15)
(-34,94)
(-320,80)
(153,55)
(118,91)
(344,93)
(-163,40)
(44,56)
(99,53)
(275,31)
(309,90)
(271,0)
(-238,84)
(133,82)
(174,87)
(-352,3)
(-127,83)
(0,97)
(199,34)
(-142,14)
(-223,18)
(-217,9)
(-309,72)
(-222,91)
(-84,83)
(132,93)
(-22,59)
(-147,12)
(9,92)
(1,86)
(-152,2)
(-47,81)
(-341,94)
(-116,78)
(-212,97)
(45,88)
(-30,66)
(286,88)
(-201,22)
(163,33)
(34,4)
(-151,88)
(-85,99)
(-25,99)
(-216,34)
(91,32)
(-303,1)
(-281,98)
(288,98)
(85,91)
(188,45)
(-261,93)
(261,87)
(-131,73)
(341,40)
(5,6)
(-172,60)
(-198,71)
(-324,9)
(178,59)
(-189,81)
(167,39)
(216,18)
(29,48)
(-82,83)
(100,35)
(-235,19)
(221,43)
(162,38)
(120,55)
(-146,83)
(84,92)
(-48,97)
(-101,60)
(-190,83)
(-186,89)
(-336,26)
(228,27)
(-221,25)
(263,19)
(339,46)
(-106,58)
(96,44)
(-279,86)
(117,16)
(-324,5)
(-324,60)
(67,2)
(257,28)
(62,11)
(193,93)
(-225,27)
(37,65)
(97,50)
(-168,4)
(-338,30)
(-147,64)
(54,65)
(-262,50)
(-12,80)
(-318,63)
(-19,21)
(38,96)
(-259,47)
(111,42)
(-141,19)
(-323,42)
(-134,48)
(156,96)
(-63,72)
(309,78)
(218,68)
(-229,36)
(-69,16)
(-331,96)
(170,57)
(202,97)
(-41,24)
(-139,44)
(344,75)
(-303,72)
(-119,54)
(94,88)
(247,10)
(-16,32)
(92,63)
(144,31)
(85,59)
(-161,8)
(-302,35)
(163,89)
(-246,68)
(-295,99)
(-115,31)
(-334,45)
(-113,8)
(308,67)
(-16,4)
(304,99)
(220,22)
(-134,20)
(320,82)
(-121,26)
(-72,71)
(168,95)
(235,48)
(10,1)
(207,79)
(245,27)
(-111,30)
(270,44)
(-252,45)
(-140,26)
(329,71)
(249,70)
(-100,46)
(-222,4)
(-244,69)
(-168,57)
(-196,55)
(-206,68)
(160,82)
(-69,61)
(91,81)
(261,44)
(-142,44)
(-282,53)
(145,37)
(-68,82)
(-234,51)
(-236,79)
(185,37)
(341,39)
(-269,26)
(-319,43)
(-131,46)
(-254,7)
(50,4)
(133,78)
(-75,94)
(283,1)
(-103,8)
(-330,27)
(134,88)
(245,85)
(334,31)
(329,6)
(-129,78)
(4,79)
(246,44)
(-276,44)
(-189,98)
(-252,54)
(61,33)
(-105,23)
(-256,69)
(353,29)
(195,69)
(-217,93)
(-353,92)
(8,93)
(291,98)
(-26,94)
(-259,20)
(144,0)
(-239,19)
(-146,50)
(-7,63)
(158,4)
(74,1)
(-265,17)
(240,92)
(219,55)
(259,90)
(-321,71)
(146,4)
(-96,58)
(13,38)
(-268,62)
(-258,53)
(159,52)
(-324,46)
(34,69)
(111,56)
(-172,93)
(338,57)
(-327,88)
(292,54)
(-175,59)
(310,93)
(1,18)
(167,16)
(-279,51)
(110,78)
(-38,92)
(210,10)
(168,83)
(-328,94)
(352,79)
(-34,24)
(-342,11)
(30,82)
(67,28)
(-225,63)
(96,26)
(257,59)
(-136,30)
(133,53)
(320,43)
(48,91)
(163,92)
(-312,33)
(-42,92)
(302,80)
(-284,51)
(53,22)
(-111,66)
(315,81)
(190,3)
(-49,2)
(-231,36)
(165,93)
(250,86)
(-350,48)
(197,65)
(-204,94)
(-79,9)
(-295,85)
(-101,45)
(-257,99)
(-270,74)
(-41,48)
(-269,99)
(254,63)
(-53,20)
(207,9)
(306,53)
(-95,44)
(16,73)
(-108,48)
(-44,23)
(-68,58)
(226,17)
(-240,81)
(-266,1)
(-325,69)
(-302,60)
(110,46)
(-307,75)
(-76,70)
(-6,7)
(348,47)
(106,7)
(-285,89)
(156,37)
(-212,14)
(-84,94)
(-81,44)
(53,44)
(330,96)
(24,37)
(280,29)
(-4,54)
(29,15)
(217,33)
(-242,90)
(165,65)
(260,72)
(180,16)
(297,24)
(-110,43)
(110,95)
(237,35)
(341,5)
(75,53)
(-82,69)
(-339,21)
(-15,83)
(-93,2)
(208,69)
(338,74)
(-129,84)
(227,99)
(12,71)
(-289,13)
(-102,52)
(67,89)
(327,65)
(172,50)
(-5,60)
(194,62)
(-237,3)
(-348,51)
(37,97)
(51,20)
(-211,93)
(-162,23)
(272,37)
(79,59)
(231,34)
(-284,60)
(-277,96)
(-221,66)
(31,91)
(-10,2)
(-101,29)
(181,8)
