147
(-117,11)
(-126,56)
(106,60)
(-59,64)
(-59,62)
(19,28)
(-143,69)
(-7,38)
(76,57)
(85,24)
(-5,14)
(115,0)
(-88,91)
(125,8)
(-109,92)
(26,55)
(-43,88)
(60,55)
(-96,69)
(-60,11)
(102,58)
(40,25)
(29,63)
(-2,31)
(9,66)
(94,68)
(-147,4)
(88,91)
(-86,34)
(115,24)
(145,62)
(-58,48)
(125,60)
(21,10)
(-99,14)
(142,91)
(-102,92)
(28,20)
(-30,20)
(53,9)
(71,86)
(-116,29)
(115,37)
(47,42)
(-71,94)
(134,20)
(-112,12)
(-137,76)
(-14,43)
(-24,28)
(-21,49)
(-33,61)
(-15,85)
(61,47)
(-81,51)
(147,76)
(-146,83)
(20,3)
(56,84)
(94,63)
(-98,34)
(-138,21)
(-43,3)
(-17,93)
(-34,43)
(-91,57)
(125,82)
(-88,3)
(-10,46)
(50,74)
(109,36)
(-87,41)
(17,2)
(112,22)
(16,41)
(65,3)
(-29,76)
(14,15)
(-61,64)
(-11,75)
(-51,36)
(-45,71)
(58,16)
(-95,21)
(-39,25)
(-142,50)
(-57,86)
(79,84)
(82,72)
(-27,3)
(-62,66)
(110,39)
(-35,47)
(-101,97)
(-28,92)
(-81,5)
(-136,64)
(-22,34)
(-95,82)
(30,89)
(-41,33)
(-1,0)
(-71,87)
(-123,33)
(86,9)
(52,14)
(83,50)
(-93,31)
(104,48)
(-113,33)
(115,96)
(-71,29)
(-32,46)
(-20,44)
(-51,46)
(143,42)
(64,38)
(5,74)
(32,39)
(93,57)
(-37,92)
(-109,50)
(-19,20)
(140,10)
(66,88)
(-78,40)
(-5,29)
(-134,78)
(18,42)
(7,93)
(-141,16)
(52,59)
(-93,65)
(-25,71)
(53,84)
(53,53)
(41,93)
(-127,62)
(28,80)
(-66,31)
(137,58)
(87,74)
(-22,32)
(-106,21)
(-54,98)
(26,19)
(36,7)
